CustomerID,Age,Gender,Region,AnnualIncome_USD,SpendingScore,ProductCategory,NumPurchasesPerYear,PurchaseAmount_USD,TenureMonths,SatisfactionScore,Churned
CUST00001,37,Male,North,36800,40.5,Beauty,7,207.83,17,3.8,0
CUST00002,19,Female,Central,33400,26.4,Sports,2,248.56,57,4.5,0
CUST00003,40,Female,North,38500,15.6,Electronics,1,412.96,1,2.1,0
CUST00004,42,Female,South,60500,30.6,Beauty,6,326.52,13,3.6,0
CUST00005,42,Male,South,54400,33.5,Beauty,2,301.54,27,3.9,0
CUST00006,48,Male,South,45700,27.5,Groceries,6,153.84,70,4.5,0
CUST00007,45,Male,North,53500,28.4,Beauty,2,290.64,59,3.3,1
CUST00008,41,Female,West,46100,18.9,Fashion,6,302.26,6,1.2,0
CUST00009,34,Female,North,49800,33.8,Beauty,13,211.13,23,4.0,0
CUST00010,18,Female,West,45400,44.3,Groceries,5,186.59,10,3.1,0
CUST00011,40,Male,North,35100,35.1,Sports,7,223.4,51,4.0,0
CUST00012,37,Other,North,50500,31.9,Groceries,3,172.85,19,3.3,1
CUST00013,38,Female,Central,48900,32.3,Groceries,9,136.79,51,4.0,0
CUST00014,20,Male,North,41000,27.5,Electronics,1,599.56,68,4.8,0
CUST00015,22,Male,Central,38600,36.0,Fashion,7,333.77,42,2.3,0
CUST00016,48,Male,East,52000,25.5,Electronics,2,419.91,57,4.9,0
CUST00017,35,Male,North,44900,42.7,Sports,6,350.89,68,4.0,0
CUST00018,43,Female,Central,47400,13.1,Home & Living,1,324.71,38,5.0,0
CUST00019,35,Male,South,57400,39.3,Sports,9,495.06,62,3.7,0
CUST00020,35,Male,Central,47900,41.3,Fashion,4,366.2,7,2.7,0
CUST00021,46,Female,North,74200,52.5,Beauty,10,318.89,71,4.0,0
CUST00022,29,Male,Central,42100,68.5,Groceries,10,277.06,50,4.2,0
CUST00023,36,Male,North,42200,38.0,Home & Living,6,311.24,52,3.7,0
CUST00024,29,Male,East,29000,15.9,Fashion,3,174.89,26,3.9,0
CUST00025,30,Male,West,27300,25.4,Electronics,2,329.95,26,3.2,0
CUST00026,31,Female,Central,30100,6.6,Groceries,2,69.88,19,3.3,0
