,count,unique,top,freq,mean,std,min,25%,50%,75%,max
CustomerID,1000,1000,CUST00001,1,,,,,,,
Age,1000.0,,,,36.521,11.194054934020373,18.0,28.0,36.0,44.0,70.0
Gender,1000,3,Female,483,,,,,,,
Region,1000,5,North,226,,,,,,,
AnnualIncome_USD,1000.0,,,,49168.4,12785.217370980567,15000.0,40500.0,48900.0,57900.0,88700.0
SpendingScore,1000.0,,,,37.8197,13.765927599427242,1.0,28.9,37.5,47.0,84.1
ProductCategory,1000,6,Fashion,185,,,,,,,
NumPurchasesPerYear,1000.0,,,,6.366,3.7193921382233794,1.0,3.0,6.0,9.0,19.0
PurchaseAmount_USD,1000.0,,,,366.71621000000005,165.66002389488162,10.0,247.1975,359.795,463.1825,1027.63
TenureMonths,1000.0,,,,36.561,21.113361955241828,1.0,18.0,37.0,54.25,72.0
SatisfactionScore,1000.0,,,,3.63,0.8291969413640933,1.0,3.1,3.7,4.2,5.0
Churned,1000.0,,,,0.056,0.2300367729666649,0.0,0.0,0.0,0.0,1.0
